"Enable Toast Message","Enable Toast Message"
"General Options","General Options"
"Success Message Options","Success Message Options"
Position,Position
"Default Bottom Center","Default Bottom Center"
"Background Color","Background Color"
"Default Green: #e5efe5","Default Green: #e5efe5"
"Font Color","Font Color"
"Default Green: #006400","Default Green: #006400"
"Display Icon","Display Icon"
"Notice Message Options","Notice Message Options"
"Default Brown: #e5efe5","Default Brown: #e5efe5"
"Default Brown: #6f4400","Default Brown: #6f4400"
"Warning Message Options","Warning Message Options"
"Default Yellow: #fdf0d5","Default Yellow: #fdf0d5"
"Default Yellow: #6f4400","Default Yellow: #6f4400"
"Error Message Options","Error Message Options"
"Default Red: #fae5e5","Default Red: #fae5e5"
"Default Red: #e02b27","Default Red: #e02b27"
"Info Message Options","Info Message Options"
"Default Blue: #fdf0d5","Default Blue: #fdf0d5"
"Default Blue: #6f4400","Default Blue: #6f4400"
